Date, Open, High, Low, Close
12/28/90, 1733.83, 1742.77, 1726.69, 1733.83
12/27/90, 1740.55, 1750.92, 1729.99, 1740.55
12/26/90, 1729.81, 1731.47, 1720.22, 1729.81
12/25/90, 1725.17, 1762.32, 1725.17, 1725.17
12/21/90, 1764.82, 1792.93, 1754.99, 1764.82
12/20/90, 1795.37, 1819.94, 1794.65, 1795.37
12/19/90, 1821.41, 1833.84, 1792.47, 1821.41
12/18/90, 1790.48, 1790.48, 1776.89, 1790.48
12/17/90, 1778.89, 1799.54, 1777.26, 1778.89
12/14/90, 1800.32, 1813.48, 1786.86, 1800.32
12/13/90, 1813.98, 1813.98, 1781.16, 1813.98
12/12/90, 1779.50, 1789.77, 1768.98, 1779.50
12/11/90, 1771.63, 1771.63, 1739.63, 1771.63
12/10/90, 1757.02, 1764.89, 1735.05, 1757.02
12/07/90, 1740.34, 1740.49, 1669.75, 1740.34
12/06/90, 1667.80, 1670.22, 1641.28, 1667.80
12/05/90, 1639.13, 1639.15, 1610.22, 1639.13
12/04/90, 1622.65, 1668.20, 1622.65, 1622.65
12/03/90, 1671.22, 1690.80, 1652.90, 1671.22
11/30/90, 1652.01, 1664.17, 1622.50, 1652.01
11/29/90, 1666.96, 1694.67, 1648.23, 1666.96
11/28/90, 1697.35, 1737.34, 1696.23, 1697.35
11/27/90, 1734.30, 1745.60, 1730.60, 1734.30
11/26/90, 1747.08, 1748.61, 1729.19, 1747.08
11/22/90, 1727.66, 1727.66, 1689.62, 1727.66
11/21/90, 1688.53, 1717.69, 1678.51, 1688.53
11/20/90, 1719.79, 1738.45, 1719.18, 1719.79
11/19/90, 1740.06, 1744.71, 1722.89, 1740.06
11/16/90, 1720.12, 1742.81, 1707.59, 1720.12
11/15/90, 1745.87, 1773.11, 1743.68, 1745.87
11/14/90, 1770.30, 1779.55, 1759.12, 1770.30
11/13/90, 1773.02, 1773.04, 1708.18, 1773.02
11/09/90, 1707.44, 1719.05, 1688.94, 1707.44
11/08/90, 1721.91, 1749.21, 1712.36, 1721.91
11/07/90, 1752.32, 1779.01, 1741.43, 1752.32
11/06/90, 1781.62, 1818.64, 1774.11, 1781.62
11/05/90, 1801.23, 1809.17, 1788.14, 1801.23
11/02/90, 1786.38, 1795.04, 1754.51, 1786.38
11/01/90, 1794.79, 1854.16, 1792.63, 1794.79
10/31/90, 1856.12, 1863.00, 1853.26, 1856.12
10/30/90, 1865.24, 1875.81, 1851.28, 1865.24
10/29/90, 1876.07, 1879.79, 1859.98, 1876.07
10/26/90, 1861.04, 1878.10, 1856.27, 1861.04
10/25/90, 1880.63, 1886.54, 1844.04, 1880.63
10/24/90, 1841.48, 1857.19, 1826.81, 1841.48
10/23/90, 1859.56, 1874.30, 1856.30, 1859.56
10/22/90, 1858.30, 1866.37, 1816.65, 1858.30
10/19/90, 1816.29, 1845.35, 1785.04, 1816.29
10/18/90, 1783.53, 1783.53, 1753.25, 1783.53
