Date, Open, High, Low, Close
04/04/19, 26213.42, 26398.90, 26212.78, 26384.63
04/03/19, 26238.03, 26282.17, 26138.47, 26218.13
04/02/19, 26213.55, 26221.24, 26122.31, 26179.13
04/01/19, 26075.10, 26280.90, 26071.69, 26258.42
03/29/19, 25827.31, 25949.32, 25771.67, 25928.68
03/28/19, 25693.32, 25743.41, 25576.69, 25717.46
03/27/19, 25676.34, 25758.17, 25425.27, 25625.59
03/26/19, 25649.56, 25796.29, 25544.78, 25657.73
03/25/19, 25490.72, 25603.27, 25372.26, 25516.83
03/22/19, 25844.65, 25877.01, 25501.45, 25502.32
03/21/19, 25688.44, 26009.90, 25657.78, 25962.51
03/20/19, 25867.79, 25929.52, 25670.63, 25745.67
03/19/19, 25987.87, 26109.68, 25814.92, 25887.38
03/18/19, 25801.88, 25924.77, 25785.66, 25914.10
03/15/19, 25720.96, 25927.91, 25649.70, 25848.87
03/14/19, 25692.31, 25752.84, 25621.31, 25709.94
03/13/19, 25637.23, 25776.49, 25571.31, 25702.89
03/12/19, 25600.30, 25675.44, 25522.17, 25554.66
03/11/19, 25208.00, 25661.63, 25208.00, 25650.88
03/08/19, 25347.38, 25466.14, 25252.46, 25450.24
03/07/19, 25645.45, 25645.45, 25352.55, 25473.23
03/06/19, 25818.76, 25837.61, 25633.71, 25673.46
03/05/19, 25829.07, 25877.15, 25725.63, 25806.63
03/04/19, 26122.19, 26155.98, 25611.55, 25819.65
03/01/19, 26019.67, 26143.92, 25914.37, 26026.32
02/28/19, 25984.28, 26029.21, 25896.56, 25916.00
02/27/19, 25995.60, 26039.68, 25877.24, 25985.16
02/26/19, 26051.61, 26155.29, 25966.01, 26057.98
02/25/19, 26126.15, 26241.42, 26080.66, 26091.95
02/22/19, 25906.27, 26052.90, 25906.27, 26031.81
02/21/19, 25922.41, 25938.88, 25762.21, 25850.63
02/20/19, 25872.26, 25986.20, 25846.48, 25954.44
02/19/19, 25849.85, 25961.44, 25820.01, 25891.32
02/15/19, 25564.63, 25883.72, 25564.63, 25883.25
02/14/19, 25460.65, 25558.90, 25308.09, 25439.39
02/13/19, 25480.86, 25625.95, 25480.86, 25543.27
02/12/19, 25152.03, 25458.98, 25152.03, 25425.76
02/11/19, 25142.81, 25196.75, 25009.10, 25053.11
02/08/19, 25042.36, 25106.39, 24883.04, 25106.33
02/07/19, 25265.81, 25314.26, 25000.52, 25169.53
02/06/19, 25371.57, 25439.04, 25312.06, 25390.30
02/05/19, 25287.93, 25427.32, 25287.65, 25411.52
02/04/19, 25062.12, 25239.91, 24977.67, 25239.37
02/01/19, 25025.31, 25193.15, 24982.49, 25063.89
01/31/19, 24954.48, 25049.62, 24842.09, 24999.67
01/30/19, 24826.52, 25109.62, 24790.90, 25014.86
01/29/19, 24519.62, 24674.87, 24504.04, 24579.96
01/28/19, 24596.98, 24596.98, 24323.94, 24528.22
01/25/19, 24687.21, 24860.15, 24676.75, 24737.20
01/24/19, 24579.96, 24626.30, 24422.73, 24553.24
01/23/19, 24577.25, 24700.98, 24307.17, 24575.62
01/22/19, 24607.76, 24607.76, 24244.31, 24404.48
01/18/19, 24534.19, 24750.22, 24459.03, 24706.35
01/17/19, 24147.09, 24474.46, 24088.90, 24370.10
01/16/19, 24139.91, 24288.61, 24119.72, 24207.16
01/15/19, 23914.11, 24099.14, 23887.93, 24065.59
01/14/19, 23880.53, 23964.90, 23765.24, 23909.84
01/11/19, 23940.01, 23996.32, 23798.16, 23995.95
01/10/19, 23811.11, 24014.78, 23703.25, 24001.92
01/09/19, 23844.27, 23985.45, 23776.56, 23879.12
01/08/19, 23680.32, 23864.65, 23581.45, 23787.45
01/07/19, 23474.26, 23687.74, 23301.59, 23531.35
01/04/19, 22894.92, 23518.64, 22894.92, 23433.16
01/03/19, 23176.39, 23176.39, 22638.41, 22686.22
01/02/19, 23058.61, 23413.47, 22928.59, 23346.24
